agency.name,Basin_count,ID,Basin_Name,SubBasin_Name,No_basin,HydroRegion,DWR,Geo_Region,Basin_Prior,Prior,Basin_area (ac),Pop2010,Basin_GW_extract ,Agency_GW_extract,Basin_irri,Agency_irri,ab3030,abtoc,abmonth,sb1938,sbtoc,sbmonth,irwmp,irwmtoc,well_basin,well_agen,member,irwmporgs,waterorg
Alameda County Water District,59,2-9.01,SANTA CLARA VALLEY,NILES CONE,1,San Francisco Bay,NCRO,1,Medium,0,65800,321494,29600,,,500,1,3/22/2001,110.7,0,N/A,not submitted,1,4/8/2014,2198,206,81700,19,8
Aliso Water District,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,2,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,,1,1/23/1996,48.7,0,N/A,not submitted,0,N/A,379,,,0,16
Aliso Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,2,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,,1,1/23/1996,48.7,0,N/A,not submitted,0,N/A,264,,,0,16
Alta Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,976000,44700,150000,,480000,13000,1,8/14/1994,31.4,1,7/10/2008,78.3,1,7/27/2007,2335,,,15,8
Antelope Valley Water Group,37,6-44,ANTELOPE VALLEY,,1,South Lahontan,SRO,4,High,1,1010000,279300,26809,,,,0,N/A,not submitted,1,10/1/2007,69,1,10/1/2007,454,893,,12,18
Biggs-West Gridley Water District,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,,,26600,1,11/15/1995,46.5,0,N/A,not submitted,1,6/1/2004,,,359,14,11
Borrego Water District,111,7-24,BORREGO VALLEY,,1,Colorado River,SRO,4,Medium,0,150000,3853,19700,2730,,4000,1,10/18/2002,129.6,0,N/A,not submitted,1,3/1/2009,49,22,2535,3,2
Brophy Water District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,26957,,10000,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,,22,16
Browns Valley Irrigation District,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,1,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,4834,,23133,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,1200,22,16
Butte County Dept of Water and Resource Conservation,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,5,Sacramento River,NRO,3,Medium,0,265390,38465,180800,179500,,230500,0,N/A,not submitted,1,9/1/2004,32,1,12/1/2006,2717,3209,,40,8
Butte County Dept of Water and Resource Conservation,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,5,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,171000,,230500,1,9/1/2004,152,1,9/1/2004,32,1,3/1/2014,866,3209,,40,8
Butte County Dept of Water and Resource Conservation,39,5-21.58,SACRAMENTO VALLEY,WEST BUTTE,5,Sacramento River,NRO,3,High,1,181560,36152,175600,171000,,230500,1,9/1/2004,152,1,9/1/2004,32,1,12/1/2006,2717,3209,,40,8
Butte County Dept of Water and Resource Conservation,18,5-21.57,SACRAMENTO VALLEY,VINA,5,Sacramento River,NRO,3,High,1,125640,36152,150000,150000,,230500,1,9/1/2004,152,1,9/1/2004,32,1,12/1/2006,185,3209,,40,8
Butte Water District,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,31330,,,1,5/13/1996,52.4,0,N/A,not submitted,1,6/1/2004,,,650,14,11
Camp Far West Irrigation District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,,,3500,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,,22,20
Cawelo Water District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,,,34800,1,7/21/1994,30.7,1,2/1/2014,145,1,7-Jul,1128,4865,,6,5
Central California Irrigation District,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,1,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,143400,1,12/5/1997,71.1,0,N/A,not submitted,0,N/A,379,1088,1600,0,16
Chino Basin Municipal Water District,15,8-2.01,UPPER SANTA ANA VALLEY,CHINO,1,South Coast,SRO,4,High,1,154000,898653,169488,,25000,,0,N/A,not submitted,0,N/A,not submitted,1,3/31/2009,844,2162,,5,237
Chowchilla Water District-Red Top Resource Conservation District JPA,40,5-22.05,SAN JOAQUIN VALLEY,CHOWCHILLA,1,San Joaquin River,SCRO,2,High,1,159000,15820,255000,,,65000,1,12/3/1997,71.1,0,N/A,not submitted,1,4/15/2008,98,,304,14,8
City of Biggs,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,,,,0,N/A,not submitted,0,N/A,not submitted,0,N/A,,,,0,
City of Chowchilla Domestic Water System,40,5-22.05,SAN JOAQUIN VALLEY,CHOWCHILLA,1,San Joaquin River,SCRO,2,High,1,159000,15820,255000,,,,0,N/A,not submitted,0,N/A,not submitted,1,4/15/2008,98,,3000,14,8
City of Gridley,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,,,,0,N/A,not submitted,0,N/A,not submitted,0,N/A,,,,0,
City of Lincoln,24,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN,1,Sacramento River,NCRO,1,High,1,351000,94737,399000,,,1400,0,N/A,not submitted,1,11/12/2003,22.4,1,6/1/2006,,,22900,26,3
City of Red Bluff,55,5-21.54,SACRAMENTO VALLEY,ANTELOPE,1,Sacramento River,NRO,3,Medium,0,18710,6124,19100,5227,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,893,,14076,9,32
City of Rio Vista,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,119263,346000,2916,,,0,N/A,not submitted,0,N/A,not submitted,1,2/1/2005,,,3000,6,20
City of Vacaville,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,92000,346000,6700,,,1,2/14/1995,37.4,1,2/1/2011,109,1,2/1/2005,,,,6,8
Colusa County ,57,5-21.52,SACRAMENTO VALLEY,COLUSA,2,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,400000,0,N/A,not submitted,1,9/1/2008,80,1,3/1/2014,725,223,,9,32
Colusa County ,39,5-21.58,SACRAMENTO VALLEY,WEST BUTTE,2,Sacramento River,NRO,3,High,1,181560,36152,175600,,,400000,0,N/A,not submitted,1,9/1/2008,80,1,3/1/2014,725,223,,9,32
Consolidated Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,85500,480000,,1,8/5/1995,43.1,1,3/6/2009,86.2,1,10/17/2012,2335,4500,,57,17
Cordua Irrigation District,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,1,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,8262,,,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,257,22,16
Corning Water District,61,5-21.51,SACRAMENTO VALLEY,CORNING,1,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,7338,1,11/1/1996,58,0,N/A,not submitted,1,2/1/2009,725,,586,60,32
Deer Creek and Tule River Authority,3,5-22.11,SAN JOAQUIN VALLEY,KAWEAH,2,Tulare Lake,SCRO,2,High,1,446000,271700,757800,,,230300,1,3/24/1995,38.8,1,7/1/2006,54,1,15-Nov,1004,,74305,14,7
Deer Creek and Tule River Authority,28,5-22.13,SAN JOAQUIN VALLEY,TULE,2,Tulare Lake,SCRO,2,High,1,467000,108660,660300,,,230300,1,4/24/1995,39.8,1,7/1/2006,54,1,15-Nov,577,,74305,14,7
Delano-Earlimart ID,28,5-22.13,SAN JOAQUIN VALLEY,TULE,1,Tulare Lake,SCRO,2,High,1,467000,108660,660300,,,48000,0,N/A,not submitted,1,8/1/2007,67,1,7-Jul,577,,400,6,5
Dry Creek Water Mutual Water Company,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,7739,,,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,,22,16
Dunnigan Water District ,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,10000,1,2/15/2001,109.5,1,7/1/2007,66,1,2/1/2009,725,,1000,60,45
Durham Irrigation District,39,5-21.58,SACRAMENTO VALLEY,WEST BUTTE,1,Sacramento River,NRO,3,High,1,181560,36152,175600,,,,0,N/A,not submitted,0,N/A,not submitted,1,12/1/2006,,,1300,14,11
East Bay Municipal Utility District,118,2-9.04,SANTA CLARA VALLEY,EAST BAY PLAIN,1,San Francisco Bay,NCRO,1,Medium,0,77800,881718,16850,,,,0,N/A,not submitted,1,3/26/2013,134.8,1,4/8/2014,5449,103,1400000,19,8
El Dorado Irrigation District,29,5-21.65,SACRAMENTO VALLEY,SOUTH AMERICAN,1,Sacramento River,NCRO,1,High,1,248000,718113,,,,4100,0,N/A,not submitted,0,N/A,not submitted,1,6/1/2006,,,110000,26,16
Elk Grove Water District,29,5-21.65,SACRAMENTO VALLEY,SOUTH AMERICAN,1,Sacramento River,NCRO,1,High,1,248000,718113,,5312,,,0,N/A,not submitted,0,N/A,not submitted,1,6/1/2006,,,44000,26,16
Feather Water District,85,5-21.62,SACRAMENTO VALLEY,SUTTER,1,Sacramento River,NCRO,1,Medium,0,234400,94737,175300,,,7398,0,N/A,not submitted,1,11/8/2005,46.2,1,2/1/2009,,,92,60,11
Fresno Area Regional,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,2,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,150000,0,N/A,not submitted,1,12/1/2006,59,1,10/17/2012,2335,323,600000,17,10
Fresno Area Regional,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,2,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,150000,0,N/A,not submitted,1,12/1/2006,59,1,10/17/2012,379,323,600000,17,10
Fresno Slough Water District,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,1,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,1030,1,12/5/1997,71.1,1,7/21/2009,90.7,1,10/17/2012,379,11,,57,32
Glenn County,57,5-21.52,SACRAMENTO VALLEY,COLUSA,2,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,255000,1,2/15/2000,97.5,1,7/31/2012,127,1,3/1/2014,725,457,,9,32
Glenn County,39,5-21.58,SACRAMENTO VALLEY,WEST BUTTE,2,Sacramento River,NRO,3,High,1,181560,36152,175600,,,255000,0,N/A,not submitted,1,7/31/2012,127,1,3/1/2014,725,457,,9,32
Glenn-Colusa Irrigation District,61,5-21.51,SACRAMENTO VALLEY,CORNING,2,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,55000,1,5/18/1995,40.6,0,N/A,not submitted,1,2/1/2009,725,,1096,60,8
Glenn-Colusa Irrigation District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,2,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,55000,1,5/26/1995,40.8,0,N/A,not submitted,1,2/1/2009,725,,1096,60,8
Gravelly Ford Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,16300,1,4/13/1998,75.4,0,N/A,not submitted,1,4/15/2008,264,,22,14,8
Hallwood Irrigation Company,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,1,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,12015,,,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,,22,16
James Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,40300,480000,22442,1,5/7/1996,52.2,1,11/1/2010,106,1,10/17/2012,2335,68,52,57,17
Kaweah-Delta Water Conservation District,3,5-22.11,SAN JOAQUIN VALLEY,KAWEAH,1,Tulare Lake,SCRO,2,High,1,446000,271700,757800,,,250000,1,8/1/1995,43,1,11/7/2006,58.2,1,14-Dec,1004,400,175000,8,16
Kern Delta Water District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,250000,,92000,1,10/15/1996,57.5,1,10/11/2013,141.3,1,11-Nov,1128,1000,500,8,3
Kern-Tulare Water District and Rag Gulch Water District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,2,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,25000,,19066,0,N/A,not submitted,1,6/20/2006,53.6,1,7-Jul,1128,,70,6,8
Kern-Tulare Water District and Rag Gulch Water District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,2,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,19066,0,N/A,not submitted,1,6/20/2006,53.6,1,7-Jul,182,,70,6,8
Kings County Water District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,2,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,,1,1/1/1993,12,1,5/1/2011,112,1,10/17/2012,2335,,,57,21
Kings County Water District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,2,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,,1,1/1/1993,12,1,5/1/2011,112,1,10/17/2012,182,,,57,21
Kings River Conservation District,3,5-22.11,SAN JOAQUIN VALLEY,KAWEAH,3,Tulare Lake,SCRO,2,High,1,446000,271700,757800,,,,1,8/17/1995,43.5,1,4/1/2005,39,1,10/17/2012,2352,1100,161987,17,15
Kings River Conservation District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,3,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,,1,8/17/1995,43.5,1,4/1/2005,39,1,10/17/2012,182,1100,161987,17,15
Kings River Conservation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,3,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,,1,4/11/1995,39.3,1,4/1/2005,39,1,10/17/2012,2335,1100,,57,24
Kings River Water District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,1400,1,8/17/1995,43.5,0,N/A,not submitted,0,N/A,2335,,,0,11
Kirkwood Water District,61,5-21.51,SACRAMENTO VALLEY,CORNING,1,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,,1,11/1/1996,58,0,N/A,not submitted,1,2/1/2009,725,,,60,32
Linda County Water District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,3360,22,16
Los Molinos Mutual Water Company,123,5-21.56,SACRAMENTO VALLEY,LOS MOLINOS,1,Sacramento River,NRO,3,Medium,0,33170,2220,6900,,,,1,11/1/1996,58,0,N/A,not submitted,0,N/A,,,,0,32
Los Molinos Water Works,123,5-21.56,SACRAMENTO VALLEY,LOS MOLINOS,1,Sacramento River,NRO,3,Medium,0,33170,2220,6900,,,,1,11/1/1996,58,0,N/A,not submitted,0,N/A,,,,0,
Madera County,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,765159,1,1/1/2002,120,0,N/A,not submitted,1,4/15/2008,264,21,7032,14,8
Madera Irrigation District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,99203,1,5/1/1999,88,0,N/A,not submitted,1,4/15/2008,264,229,700,14,8
Madera Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,,1,12/10/1997,71.3,0,N/A,not submitted,1,4/15/2008,264,16,35000,14,8
Maine Prairie Water District,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,119263,346000,,,13405,1,1/21/1997,60.7,0,N/A,not submitted,1,2/1/2005,,,250,4,20
Maxwell Irrigation District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,17980,,7700,0,N/A,not submitted,1,5/25/2004,28.8,1,2/1/2009,725,59,29,60,45
Merced Area Groundwater Pool Interests (MAGPI) ,23,5-22.04,SAN JOAQUIN VALLEY,MERCED,1,San Joaquin River,SCRO,2,High,1,491000,173731,,640800,,110000,1,11/4/1997,70.1,1,7/30/2008,79,1,10/8/2013,491,305,,7,14
Monterey County Water Resource Agency,12,3-4.01,SALINAS VALLEY,180/400 FOOT AQUIFER,7,Central Coast,SCRO,2,High,1,84400,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,1406,,,19,4
Monterey County Water Resource Agency,116,3-4.10,SALINAS VALLEY,CORRAL DE TIERRA AREA,7,Central Coast,SCRO,2,Medium,0,22300,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,134,,,19,4
